Non Applicable,0
Ames Laboratory ,32
Center for Nondestructive Evaluation,7
Bioeconomy Institute,6
Microelectronics Research Ctr,6
Institute for Transportation,4
Vice President for Research,3
University Museums,3
Center for Statistics and Applications in Forensic Evidence,2
Iowa Soybean Research Center,1
Undeclared,1
Pork Industry Center,1
Microelectronics Research Center,1
 Nanovaccine Inst,1
Institutional Research,1
Center for Metabolic Biology,1
Center for Food Security and Public Health,1
Center for Bioplastics and Biocomposites,1
Bioinformatics and Computational Biology,1
Egg Industry Center,1
